COMET-MQM_2021_ref_A	COMET-MQM_2021_ref_B
0.053	0.050
0.052	0.064
0.054	0.048
0.048	0.044
0.049	0.048
0.055	0.054
0.057	0.053
0.045	0.042
0.032	0.031
0.030	0.025
0.048	0.048
0.058	0.051
0.043	0.045
0.062	0.061
0.032	0.037
0.044	0.045
0.029	0.026
0.031	0.037
0.048	0.047
0.031	0.028
0.054	0.053
0.046	0.045
0.034	0.034
0.060	0.059
0.039	0.040
0.042	0.041
0.054	0.054
0.050	0.057
0.036	0.038
0.035	0.036
0.038	0.035
0.033	0.033
0.041	0.040
0.031	0.031
0.044	0.046
0.048	0.052
0.040	0.039
0.050	0.054
0.045	0.035
0.053	0.046
0.035	0.035
0.040	0.036
0.046	0.050
0.061	0.064
0.032	0.030
0.037	0.033
0.035	0.040
0.035	0.033
0.025	0.026
0.046	0.050
0.028	0.027
0.044	0.040
0.058	0.056
0.054	0.055
0.048	0.044
0.050	0.051
0.053	0.056
0.055	0.052
0.049	0.045
0.041	0.043
0.054	0.046
0.055	0.053
0.058	0.053
0.017	0.019
0.020	0.021
0.027	0.026
0.014	0.014
0.037	0.036
0.019	0.019
0.030	0.027
0.043	0.043
0.030	0.031
0.060	0.054
0.049	0.049
0.044	0.046
0.038	0.038
0.025	0.026
0.039	0.043
0.033	0.034
0.044	0.048
0.051	0.054
0.027	0.028
0.028	0.026
0.041	0.042
0.039	0.038
0.047	0.048
0.058	0.064
0.024	0.025
0.039	0.045
0.054	0.059
0.057	0.058
0.013	0.016
0.024	0.027
0.042	0.041
0.041	0.040
0.038	0.035
0.020	0.022
0.045	0.045
0.047	0.047
0.046	0.047
0.054	0.053
0.046	0.046
0.056	0.048
0.050	0.045
0.046	0.043
0.050	0.048
0.049	0.047
0.044	0.044
0.035	0.034
0.038	0.036
0.045	0.042
0.046	0.042
0.011	0.010
0.040	0.039
0.045	0.040
0.044	0.043
0.041	0.039
0.037	0.035
0.044	0.041
0.050	0.054
0.023	0.026
0.051	0.055
0.050	0.054
0.044	0.049
0.040	0.040
0.040	0.043
0.039	0.037
0.048	0.041
0.037	0.040
0.060	0.063
0.031	0.033
0.028	0.035
0.023	0.025
0.040	0.055
0.020	0.024
0.065	0.066
0.043	0.044
0.041	0.045
0.042	0.047
0.054	0.065
0.054	0.054
0.056	0.058
0.051	0.058
0.048	0.048
0.040	0.042
0.042	0.040
0.028	0.027
0.055	0.063
0.042	0.041
0.041	0.040
0.047	0.043
0.026	0.027
0.057	0.055
0.033	0.035
0.039	0.039
0.027	0.029
0.050	0.049
0.046	0.045
0.061	0.056
0.043	0.047
0.044	0.037
0.073	0.070
0.050	0.046
0.026	0.027
0.048	0.044
0.042	0.041
0.039	0.038
0.036	0.037
0.052	0.044
0.067	0.067
0.044	0.050
0.042	0.039
0.042	0.049
0.033	0.036
0.062	0.060
0.053	0.050
0.053	0.057
0.059	0.046
0.049	0.051
0.044	0.046
0.054	0.051
0.049	0.049
0.061	0.054
0.052	0.052
0.037	0.038
0.034	0.031
0.064	0.059
0.060	0.057
0.052	0.048
0.051	0.051
0.041	0.040
0.045	0.045
0.025	0.026
0.047	0.051
0.028	0.031
0.039	0.045
0.031	0.031
0.032	0.034
0.040	0.043
0.043	0.050
0.042	0.046
0.034	0.038
0.017	0.016
0.035	0.032
0.010	0.011
0.013	0.012
0.006	0.007
0.025	0.023
0.040	0.032
0.036	0.033
0.037	0.034
0.027	0.021
0.019	0.024
0.023	0.020
0.032	0.030
0.024	0.022
0.026	0.024
0.040	0.047
0.014	0.016
0.005	0.007
0.013	0.014
0.015	0.015
0.007	0.010
0.023	0.027
0.028	0.028
0.013	0.015
0.027	0.030
0.053	0.053
0.042	0.041
0.048	0.054
0.054	0.054
0.045	0.047
0.042	0.043
0.045	0.042
0.035	0.036
0.032	0.032
0.061	0.060
0.056	0.050
0.028	0.028
0.040	0.047
0.027	0.027
0.037	0.034
0.056	0.049
0.056	0.052
0.032	0.032
0.056	0.048
0.067	0.064
0.036	0.032
0.066	0.066
0.045	0.046
0.065	0.065
0.032	0.031
0.028	0.025
0.021	0.026
0.026	0.024
0.020	0.021
0.016	0.018
0.039	0.033
0.016	0.018
0.036	0.033
0.021	0.020
0.048	0.043
0.041	0.038
0.029	0.034
0.027	0.027
0.038	0.037
0.034	0.033
0.037	0.039
0.045	0.040
0.016	0.020
0.037	0.036
0.038	0.037
0.033	0.033
0.030	0.030
0.041	0.043
0.031	0.035
0.044	0.044
0.032	0.031
0.044	0.038
0.018	0.022
0.042	0.037
0.043	0.041
0.047	0.049
0.050	0.049
0.051	0.046
0.055	0.059
0.055	0.051
0.059	0.055
